# cointelegraph_historical.tsv - Historical article data from Cointelegraph.com.
#
# This is a tab-separated value file (TSV). Format notes:
#
# - Ignore blank lines.
# - Ignore lines beginning with "#".
# - Columns are:
#    1. Article slug - replace ??? with www.cointelegraph.com/news/???.html for
#    the article URL.
#    2. Publish date - when the article was published
#
1000-before-jan-1-look-at-india	2016-12-27T14:35:00
100-zimbabwean-women-farmers-will-learn-power-of-bitcoin	2016-09-28T17:05:00
10-big-banks-that-are-seriously-looking-into-blockchain-technology	2015-07-19T09:43:05
10-bitcoin-winners-and-losers-of-2017	2018-01-14T21:35:00
10-mln-ico-blockchain-capital-outlines-terms-of-funding-round	2017-04-04T19:20:00
10-steps-to-a-better-bitcoin-wallet	2015-07-18T09:23:33
10-surprising-celeb-bitcoiners	2017-10-30T17:00:00
10-times-faster-than-bitcoin-creditbit-starts-migration-to-ether-token	2017-03-08T13:11:00
10_worldwide_celebrities_and_their_relations_to_cryptocurrency	2014-03-13T10:40:48
1-1000-1-mln-bitcoins-price-doesnt-matter-its-existence-does	2017-12-12T18:30:00
11000-cripple-coin-roger-vers-bitcoin-criticism-finds-zero-support	2017-11-29T14:05:00
111-altcoins-to-be-traded-in-koreas-new-exchange-as-sk-passes-china-in-bitcoin-trading	2017-09-26T11:10:00
13200-bitcoin-price-defies-all-expectations-again	2017-12-06T12:27:00
13-fintech-unicorns-the-industry-disrupters-that-are-worth-billions	2015-05-27T13:19:59
13-of-nodes-support-segwit-release-bitgo-runs-core-0131	2016-11-01T12:40:00
14-bitcoin-atms-in-march-sees-coinsource-becoming-cali-btm-market-leader	2017-03-14T14:45:00
150btc-coinapult-hack-renews-doubts-about-security-fundamentals	2015-03-19T07:39:45
15-more-amazing-ways-bitcoin-changes-the-future-of-money	2015-08-08T11:35:00
16-bln-payments-app-square-integrates-bitcoin-whats-next	2017-11-16T17:18:00
16-percent-of-healthcare-companies-to-have-commercial-blockchain-solutions-in-2017	2016-12-28T08:15:00
180_000_hotels_for_the_bitcoin	2014-02-28T09:21:00
1-billion-invested-so-far-in-bitcoin-blockchain-infrastructure	2015-11-08T08:41:00
1-bitcoin-now-equals-nearly-3-ounces-of-gold-bobby-lee	2017-08-12T11:03:58
1-mln-bet-on-bitcoin-in-december-2018-is-it-speculation-or-mania	2017-12-22T13:50:00
1-mln-ethereum-plans-european-union-eyes-helping-refugees-with-blockchain	2017-08-31T17:00:00
1-trillion-industry-being-brought-onto-blockchain	2017-11-03T21:05:00
200-bitcoin-atms-globally-and-counting-grand-rapids-albuquerque-budapest-and-more	2014-09-01T18:28:44
200-bln-market-cap-10-bln-day-trading-how-far-can-crypto-vortex-go	2017-11-03T14:35:00
2015-a-watershed-year-for-digital-assets	2016-01-08T08:00:00
2017-beginning-of-bitcoin-era	2016-12-28T12:40:00
2017-market-performance-crypto-vs-stocks	2018-01-01T18:20:00
2017-the-year-bitcoin-finally-breaks-free	2017-01-06T16:20:00
2017-the-year-uk-fintech-goes-mainstream	2016-12-20T09:20:00
2018-blockchain-and-cryptocurrency-outlook-expert-blog	2017-12-29T20:55:00
2018-could-be-banner-year-for-nvidia-miners	2018-01-09T04:05:00
2018-prediction-tenx-co-founder-sees-more-shocking-highs-and-lows-for-bitcoin	2017-12-26T00:05:00
2018-will-determine-bitcoins-long-term-role-says-early-facebook-investor-mcnamee	2017-12-29T16:22:00
20-bitcoin-price-drop-in-less-than-90-mins-just-another-day-for-bitcoin	2017-12-01T14:50:00
20-bln-german-energy-company-brings-blockchain-to-cars-for-us-drivers	2017-03-07T18:30:00
20_worth_of_btc_for_25_on_tinkercoin	2014-03-06T15:02:00
20-year-old-americans-put-their-retirement-savings-in-bitcoin-despite-risks	2017-07-30T09:50:00
21-inc-reveals-profit-sharing-technology-plans-in-patent-application	2015-10-19T09:54:28
21-inc-to-build-the-full-stack-infrastructure-for-bitcoin-first-trading-platform-for-smart-securities	2015-03-11T14:28:34
21-inc-to-embed-asic-bitcoin-mining-chips-into-everyday-devices	2015-05-01T15:34:25
225-million-lost-as-cryptocurrency-investors-get-hooked-by-phishing-scams	2017-08-26T15:55:00
25-year-old-bitcoin-millionaire-travels-the-world-becomes-bitcoin-booster	2017-08-23T02:36:00
27-days-to-halving-bitcoin-price-reaches-2-year-high-drags-ethereum-along	2016-06-13T15:05:00
2x-or-no-2x-that-was-the-question	2017-11-14T00:45:00
300-bln-is-a-drop-in-the-ocean-bitcoin-is-still-a-baby-and-cant-be-a-bubble	2017-11-27T16:40:00
30-percent-of-cfos-still-call-bitcoin-a-bubble-cnbc-survey	2017-11-21T11:25:00
32-million-cryptocurrency-scam-ceased-by-the-sec	2015-10-04T16:44:38
33-mln-civic-ico-rations-tokens-to-cope-with-unprecedented-demand	2017-06-22T10:50:00
3-alternatives-to-skype-surveillance-with-end-to-end-encrypted-calls	2015-06-19T19:56:22
3-benefits-of-a-blockchain-based-food-ecosystem	2017-08-29T14:34:00
3d-and-vr-themed-quiz-by-cointelegraph-and-cappasity	2017-10-12T15:02:00
3d_printer_struggles_to_woo_bitcoin_spenders	2013-11-13T15:10:00
3-major-bitcoin-platforms-in-philippines-efficiency-comparison-test	2016-08-25T18:08:00
3-question-to-ask-before-investing-in-an-ico	2017-07-10T17:05:00
3-ways-artificial-intelligence-is-changing-the-finance-industry	2017-08-18T16:00:00
3-ways-indias-myntra-is-transforming-e-commerce-by-going-100-mobile	2015-05-20T17:20:59
3-ways-to-ditch-bitcoin-online-exchanges	2016-03-01T12:35:00
3-ways-to-turn-bitcoins-into-gift-cards	2015-02-26T10:52:49
3_words_you_didn_t_expect_to_see_together_bitcoin_castle_estonia	2014-03-11T14:35:23
40000-accounts-of-top-uk-bank-breached-china-approves-cyber-law-to-counter-threats	2016-11-08T14:00:00
404-forever-the-present-and-future-of-internet-censorship	2015-10-02T16:07:00
4200-bitcoin-would-cost-7000-at-pre-2017-market-dominance-alistair-milne	2017-08-15T09:51:27
4-major-banks-confirm-they-are-building-bitcoin-like-digital-currency	2016-08-24T12:05:00
4-major-chinese-bitcoin-exchanges-add-fees-game-changer-for-global-trading	2017-01-23T16:35:00
4-reasons-bitcoin-usage-could-explode-in-thailand	2016-09-17T18:25:00
